C.D.S.  -  SIMBAD4 rel 1.5  -  2016.03.12CET22:41:16

Vmag < 6
--------

Number of objects : 5599

 #  	  coord1 (ICRS,J2000/2000)   	Mag B 	Mag V 
----	-----------------------------	------	------
241 	20 23 53.17666 -42 25 22.3376	 5.84 	 5.64 
242 	09 22 23.99239 -46 02 50.7979	 6.634	 5.733
243 	08 18 33.31299 -36 39 33.4391	 4.68 	 4.40 
244 	15 18 56.37578 -40 47 17.5967	 5.490	 5.587
245 	04 35 55.23907 +16 30 33.4885	 2.40 	 0.86 
246 	15 13 53.31284 -26 11 36.8594	 7.002	 5.860
247 	08 40 06.14363 -35 18 30.0651	 4.881	 3.972
248 	15 42 38.31519 -37 25 29.7829	 6.221	 5.245
249 	08 09 29.3260 -47 20 43.027  	 4.005	 4.200
250 	09 27 46.784 -06 04 16.37    	 6.20 	 5.56 
251 	19 00 00.82568 +32 08 43.8527	 6.436	 4.951
252 	12 54 36.88630 -57 10 07.2137	 5.09 	 5.20 
253 	21 12 56.18594 +30 13 36.8957	 4.20 	 3.21 
254 	05 12 22.45292 +73 56 48.0423	 5.320	 5.450
255 	15 06 16.71796 +54 33 22.7420	 6.21 	 5.25 
256 	16 54 26.94153 -42 28 44.0178	 6.435	 5.859
257 	22 40 22.30581 -30 39 31.9422	 7.17 	 5.89 
258 	08 09 00.67584 -61 18 08.7391	 5.19 	 4.76 
259 	16 19 00.42075 -14 52 22.1666	 7.46 	 5.94 
260 	16 00 19.59408 -16 32 00.2207	 5.99 	 5.47 
261 	00 32 23.78125 +06 57 19.6571	 5.683	 5.698
262 	08 13 29.51720 -35 53 58.2662	 4.66 	 4.77 
263 	13 49 52.28332 -18 08 03.0046	 6.019	 4.970
264 	05 21 31.843 -00 24 59.37    	 5.56 	 5.68 
265 	16 06 29.43692 -45 10 23.4518	 4.954	 4.726
266 	03 05 26.690 +25 15 18.61    	 5.438	 5.470
267 	06 17 41.72419 -16 48 57.2734	 6.449	 5.155
268 	18 30 47.04 +02 36 52.0      	13.000	 4.39 
269 	06 01 43.05982 +48 57 34.0000	 7.446	 5.982
270 	10 08 42.74728 -65 48 55.5748	 6.215	 5.261
271 	09 43 33.25999 +29 58 28.1104	 5.746	 5.640
272 	17 30 25.96170 +52 18 04.9993	 3.79 	 2.81 
273 	23 34 09.01790 -01 14 51.2369	 6.193	 5.894
274 	12 08 24.81652 -24 43 43.9504	 4.34 	 4.00 
275 	17 03 08.70964 -53 14 13.3020	 5.727	 5.285
276 	12 39 56.2844 -60 33 43.884  	 0.000	 0.000
277 	09 28 47.10529 -62 16 23.2859	 7.018	 5.910
278 	20 27 34.25793 +38 26 25.1912	 5.68 	 5.62 
279 	22 50 21.77464 +41 57 12.2181	 5.981	 5.928
280 	05 59 21.78001 +49 55 28.3416	 7.118	 5.917
281 	06 53 32.90719 -20 13 27.3177	 4.62 	 4.83 
282 	02 31 30.09470 +02 16 01.8553	 6.554	 5.270
283 	10 43 01.88384 +26 19 32.0891	 5.681	 5.517
284 	17 18 48.0 -42 55 00         	     ~	 5.38 
285 	02 43 18.03910 +03 14 08.9390	 3.56 	 3.47 
286 	01 06 05.14842 -09 50 21.6739	 5.586	 5.578
287 	22 36 58.85405 -40 35 27.7272	 5.934	 5.878
288 	08 39 11.70440 +65 01 15.2667	 6.26 	 5.64 
289 	17 15 35.94943 -38 35 38.0469	 6.54 	 5.96 
290 	17 32 12.99671 +86 35 11.2584	 4.382	 4.348
291 	09 37 05.28778 +81 19 34.9711	 5.790	 4.272
292 	14 38 15.22227 +54 01 24.0221	 5.830	 5.830
293 	08 49 21.72644 -03 26 34.8861	 5.22 	 5.31 
294 	02 28 48.49387 +29 55 54.3315	 6.459	 5.910
295 	20 09 25.61918 +36 50 22.6397	 4.80 	 4.93 
296 	03 30 36.95371 -47 22 30.4532	 6.093	 5.980
297 	06 46 39.01559 -10 06 26.4968	 5.613	 5.653
298 	23 07 06.73908 +25 28 05.7329	 6.06 	 4.74 
299 	03 42 14.90248 -31 56 18.1055	 4.825	 4.970
300 	03 45 11.63204 +42 34 42.7829	 4.22 	 3.80 
